"","Country1","Country2","Period","pi_value","year"
"1",1,1,1,0.815998630857188,2000
"2",2,1,1,0.000187625467945789,2000
"3",3,1,1,0.000428439430627691,2000
"4",4,1,1,0.00130774726697445,2000
"5",5,1,1,0.000783630583112803,2000
"6",6,1,1,0.00140513797462345,2000
"7",7,1,1,0.00042203871156651,2000
"8",8,1,1,0.000344217402411566,2000
"9",9,1,1,0.000790622502705391,2000
"10",10,1,1,0.000351588814298369,2000
"11",11,1,1,0.00169098487861244,2000
"12",12,1,1,0.00182129024760608,2000
"13",13,1,1,0.0105360705805131,2000
"14",14,1,1,0.000751921715276257,2000
"15",15,1,1,0.000836388018476315,2000
"16",16,1,1,0.002158493040483,2000
"17",17,1,1,0.00340630890576201,2000
"18",18,1,1,0.000352317949902227,2000
"19",19,1,1,0.000695592481901212,2000
"20",20,1,1,0.000328030165794811,2000
"21",21,1,1,0.000203546427634627,2000
"22",22,1,1,0.000164065972014439,2000
"23",23,1,1,0.000447774066405454,2000
"24",24,1,1,0.00032848216019525,2000
"25",25,1,1,0.000477378629660799,2000
"26",26,1,1,0.000204767374832216,2000
"27",27,1,1,0.000370546438842694,2000
"28",28,1,1,0.000362072989973228,2000
"29",29,1,1,0.000660095719207146,2000
"30",30,1,1,0.00378069220001855,2000
"31",1,2,1,0.000858229114052372,2000
"32",2,2,1,0.754984784732912,2000
"33",3,2,1,0.00031052800676452,2000
"34",4,2,1,0.00105080093764258,2000
"35",5,2,1,0.013762143236732,2000
"36",6,2,1,0.00121018923452916,2000
"37",7,2,1,0.00853309869661687,2000
"38",8,2,1,0.00189286339394858,2000
"39",9,2,1,0.00205773028524254,2000
"40",10,2,1,0.00208565394384648,2000
"41",11,2,1,0.00178167031050282,2000
"42",12,2,1,0.00256614260368416,2000
"43",13,2,1,0.00137075143208108,2000
"44",14,2,1,0.000496254558924089,2000
"45",15,2,1,0.00451332204800608,2000
"46",16,2,1,0.000265530639306936,2000
"47",17,2,1,0.000249019860561949,2000
"48",18,2,1,0.000235925576811464,2000
"49",19,2,1,0.00343317857128921,2000
"50",20,2,1,0.00182444666826904,2000
"51",21,2,1,0.00442522126167639,2000
"52",22,2,1,0.0015564355963944,2000
"53",23,2,1,0.0072369351312614,2000
"54",24,2,1,0.00270146342391694,2000
"55",25,2,1,0.0173766246902841,2000
"56",26,2,1,0.0305056269165679,2000
"57",27,2,1,0.00223191562604551,2000
"58",28,2,1,0.00105770303378875,2000
"59",29,2,1,0.000359455633884418,2000
"60",30,2,1,0.00296879792451414,2000
"61",1,3,1,0.000782168853936356,2000
"62",2,3,1,0.000777012823119092,2000
