,m_log,y_log,l_log,K_log
0,4.801115187472328,6.6593123532239,9.294528322401208,8.071468430643995
1,4.748361025579007,6.684187239706975,9.243364038423364,8.120975196664736
2,4.697521447052278,6.709548212957959,9.157370233875218,8.16797608284666
3,4.671388545406961,6.779126136384956,9.100850973831898,8.210042835769059
4,4.683999850529903,6.8586700712916455,9.096564920217242,8.26827018711454
5,4.726794722511573,6.912643313054913,9.099920784471307,8.320253305598664
6,4.7345655369726405,6.955878554163865,9.102950019815658,8.366021403614498
7,4.7663362007092545,7.002792694316889,9.083349448537554,8.406015790436847
8,4.6777233786698,6.943508448687955,9.04342945888166,8.426239508284889
9,4.445048381090038,6.880384082186005,8.893492642213483,8.425077902508432
10,4.513000071015961,6.9346892802222175,8.86279033581445,8.419668561526185
11,4.573545350969878,6.984438503753095,8.892004342263899,8.443482063586313
12,4.605170185988092,7.042460981834428,8.918561028271835,8.461151800532612
13,4.638479228831745,7.10175834054993,8.928850201185215,8.472112139975598
14,4.679358869170305,7.171349555904828,8.945549833150787,8.488649673598992
15,4.67237078564833,7.243370005189221,8.95739246744192,8.518392471991719
16,4.647827295654071,7.3026311855360335,8.950684104240233,8.547780590684027
17,4.666669719075663,7.369222577205586,8.954124666320523,8.575952545289768
18,4.701270962279547,7.4299361867862626,8.980350521480727,8.616006319635668
